"No.","Time","Source","Destination","Protocol","Length","Info"
"75","123.711956","0c:0d:d2:f5:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A PARTNER 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG**"
"76","124.259573","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"77","127.747286","0c:68:02:cc:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"78","128.568596","0c:68:02:cc:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"79","129.782553","0c:bb:fa:db:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"80","129.782786","0c:bb:fa:db:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"81","129.837971","0c:5b:73:54:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"82","130.017366","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"83","130.532237","0c:5b:50:82:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"84","132.901734","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"85","132.901775","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"86","133.205479","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"87","133.205511","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"88","134.258964","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"89","138.549873","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","CDP","418","Device ID: vIOS-L2-01  Port ID: GigabitEthernet0/3  "
"90","140.016533","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"91","144.257498","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
